Career (Small List),Matched Careers (Large List)
Forensic Scientist,"Detective, Forensic Chemist, Forensic Science Technician"
Quality Control Analyst ,"Quality Assessor, Quality Supervisor, Quality Control Chemist"
Marketing Data Analyst,"Operations Research Analyst, Digital Marketing Manager, Market Research Analyst"
Transportation Planner,"Planner, Transport Manager, Traffic Planner"
Mechanical Engineer,"Structural Mechanical Engineer, Mechanical Engineer, Mechanical Engineer"
Food Scientists and Technologists,"Chemical Engineer, Food, Food/Chemical Technologist, Food Chemist"
Building Scientist,"Laboratory Technician, Artificial Breeding, Environmental Scientist, Material Scientist"
Health Communications Specialist,"Medical Equipment Technician, Medical Records and Health Information Technician, Health Officer"
Clinical Research Coordinator,"Cancer Specialist, Laboratory Assistant, Clinical, Medical Laboratory Technician"
Medical Science Liaison,"Medical Physiologist, Medical Equipment Technician, Medical Laboratory Technician"
Pharmaceutical Sales Representative,"Distributor Sales Representative, Sales Representative, Medical Sales Representative"
Epidemiologist,"Seismologist, Toxicologist, Pathologist, Medical"
Biomedical Scientist,"Medical Laboratory Technician, Biomedical Equipment Technician, Biomedical Engineer"
Medical Tourism Consultant,"Tourist Guide, Medical Sales Representative, Travel Consultant"
Public Health Educator,"Health Officer, Diabetes Educator, Health Educator"
Clinical Data Manager,"Laboratory Assistant, Clinical, Medical Laboratory Technician, Medical Records and Health Information Technician"
Forensic Scientist,"Detective, Forensic Chemist, Forensic Science Technician"
Quality Control Analyst,"Quality Assessor, Quality Supervisor, Quality Control Chemist"
Medical Marketing Manager,"Brand Manager, Digital Marketing Manager, Medical Sales Representative"
Pharmaceutical Supply Chain Analyst,"Supply Chain Manager - Life Science, Pharmaceutical Chemist, Market Research Analyst"
Clinical Research Coordinator,"Cancer Specialist, Laboratory Assistant, Clinical, Medical Laboratory Technician"
Food Safety Compliance Officer,"Food &amp; Beverage Service - Steward, Food Processing/Production Supervisor, Health, Safety and Environment (HSE) Officer"
Real Estate Attorney,"Property Dealer, Real Estate Agent (House Agent), Attorney at Law"
Art Law Specialist,"Art Teacher, Engraving Artisan, Art Director"
Compliance Officer,"Security Supervisor, Security Officer, Information Officer"
Academic Affairs Lawyer,"Solicitor General of India, Attorney General of India, Attorney at Law"
Tax Attorney,"Director, Insurance, Accountant, Attorney at Law"
Regulatory Affairs Specialist,"Chairman, Administrative Tribunal, Administrative &amp; Executive Official, Member, Industrial Tribunal"
Medical Malpractice Lawyer,"Insolvency Registrar, Legal Assistant, Attorney at Law"
Tourism Policy Analyst,"Travel Consultant, Travel Consultant &amp; Organiser, Tourist Guide"
Mental Health Advocate,"Advocate General, Counsellor, Advocate"
Regulatory Compliance,"Factory Compliance Auditor, Accounts Executive (Statutory Compliance), Environmental Compliance Inspector"
Immigration Lawyer,"Legal Assistant, Attorney at Law, Attorney General of India"
Labor Relations Attorney,"Legal Assistant, Labour Welfare Officer, Attorney at Law"
Brand Protection Attorney,"Brand Manager, Attorney at Law, Product Brand Manager"
Supply Chain Risk Manager,"Risk Management Analyst, Supply Chain Management (SCM) Executive, Supply Chain Manager - Life Science"
Patent Attorney,"Attorney General of India, Copyright Clerk, Attorney at Law"
Environmental Policy Analyst,"Environmental Engineering Technician, Ecologist, Environmental Scientist"
Construction Project Manager,"General Manager, Construction, Construction Work Supervisor, Manager, Construction"
Media Planner,"Meeting, Conference, and Event Planner, Traffic Coordinator (Media Organization), Planner"
Operations Manager,"Sales Manager, Service Office Manager, Personnel Manager"
Instructional Coordinator,"Trainee Associate, Sales Coordinator, IT Coordinator in School"
Loan Officer,"Finance Agent, Bank Manager, Loan Approval Officer"
City Manager,"Service Office Manager, Personnel Manager, Area Service Manager"
Public Health Educator,"Health Officer, Diabetes Educator, Health Educator"
Travel Consultant,"Travel Agent, Travel Consultant &amp; Organiser, Travel Consultant"
Family Therapist,"Marriage and Family Counsellor, Occupational Therapist, Counselling Psychologist"
IT Project Manager,"Service Office Manager, IT Coordinator in School, Product Development Manager"
Probation Officer,"Security Officer, Personal Security Officer, Probation Officer"
Quality Control Manager,"Quality Supervisor, Quality Control Chemist, Quality Management System In-Charge"
Brand Manager,"Sales Manager, Product Brand Manager, Brand Manager"
Supply Chain Analyst,"Risk Management Analyst, Supply Chain Management (SCM) Executive, Supply Chain Manager - Life Science"
Operations Research Analyst,"Risk Management Analyst, Market Research Analyst, Operations Research Analyst"
Food Production Supervisor,"Supervisor and Foreman, Dairy Products/ Dairy Technologist, Manager, Food Processing Plant, Food Processing/Production Supervisor"
Architectural Manager,"Manager, Construction, General Manager, Construction, Architect"
Public Relations Specialist,"Guest Relations Manager, Director of Communications, Public Relations Officer"
Human Resources Manager,"Personnel Manager, Human Resource Manager, Manpower Officer/Area Manager, Human Resource"
Instructional Coordinator,"Trainee Associate, Sales Coordinator, IT Coordinator in School"
Investment Banker,"Bank Manager, Financial Analyst, Finance Agent"
Policy Analyst,"Financial Analyst, Risk Management Analyst, Operations Research Analyst"
Medical and Health Services Manager,"Hospital Administrator, Health Officer, Health Club Manager"
Event Planner,"Family Planning Organizer, Meeting, Conference, and Event Planner, Planner"
Human Resources Specialist,"Personnel Manager, Manpower Officer/Area Manager, Human Resource, Human Resource Manager"
Systems Analyst,"Financial Analyst, Risk Management Analyst, Operations Research Analyst"
Public Safety Director,"Security Officer, Security Supervisor, Public Relations Officer"
Production Planner,"Production Engineer, Production Planning Supervisor, Production Planner"
Product Manager,"Product Design Manager, Product Development Manager, Product Brand Manager"
Fleet Manager,"Chief Engineer, Ship, Chief Officer, Ship, Duty Manager"
Operations Research Analyst,"Risk Management Analyst, Market Research Analyst, Operations Research Analyst"
Environmental Educator,"Ecologist, Environmental Scientist, Environmental Engineering Technician"
Urban Designer,"Fashion Designer, Designer (CAD), Interior Designer"
Set Designer,"Layout Designer, Set Painter, Set Decorator"
Art Gallery Manager,"Art Teacher, Art Director, Fine Art Painter"
Drama Coach,"Manager, Recreation and Entertainment, Sports Coach, Athletic Coach"
Gallery Accountant,"Auditor, Audit Clerk, Accountant"
Public Art Program Administrator,"Painting Supervisor, Art Teacher, Art Director"
Medical Illustrator,"Drawing Artist, Rendering Artist, Hand Sketch Designer"
Event Planner (Arts and Culture),"Working Proprietor, Recreation and Entertainment, Family Planning Organizer, Meeting, Conference, and Event Planner"
Community Arts Coordinator,"Senior Secondary and Secondary School Teacher, Arts, Art Director, IT Coordinator in School"
Graphic Designer,"Designer (CAD), Fashion Designer, Character Designer"
Cultural Heritage Lawyer,"Historian, Attorney at Law, Legal Remembrancer"
Exhibit Fabricator,"Textile Designer, Plastic Fabricator, Plastic Fabricator"
Brand Manager (Creative Focus),"Product Design Manager, Brand Manager, Product Brand Manager"
Logistics Coordinator (Cultural Events),"Supervisor, Customs, Travel Consultant &amp; Organiser, Transport Coordinator"
Architectural Illustrator,"Animator, Rendering Artist, Architect"
Farm Manager,"General Manager Agriculture Farm, Manager, Livestock Farm, Manager, Agriculture Farm"
Urban Planner,"Traffic Planner, Town Planner, Planner"
Sports Photographer,"Cameraman, News Photographer, Photographer"
Athletic Director,"General Manager, Recreation and Entertainment, Sports Coach, Athletic Coach"
Athletic Coach,"Fitness Trainer, Sports Coach, Athletic Coach"
Investment Consultant (Sports),"Operations Research Analyst, Sports Coach, Building Operator Sports Goods"
Sports Policy Analyst,"Professional Athlete, Athletic Coach, Sports Coach"
Athletic Trainer,"Athletic Coach, Trainer, Fitness Trainer"
Sports Hospitality Manager,"Hotel and Restaurant Keeper, Sports Coach, Health Club Manager"
Youth Sports Coordinator,"Fitness Trainer, Athletic Coach, Sports Coach"
Video Game Developer (Sports),"Sports Goods Maker, Wood, Building Operator Sports Goods, Sports Coach"
Sports Security Manager,"Security Supervisor, Security Officer, Sports Coach"
Quality Assurance Specialist (Sports),"Building Operator Sports Goods, Sports Coach, Quality Assurance Chemist"
Digital Marketing Specialist (Sports),"Building Operator Sports Goods, Digital Marketing Manager, Sports Goods Maker, Wood"
Supply Chain Analyst (Sports Products),"Supply Chain Manager - Life Science, Sports Goods Maker, Wood, Building Operator Sports Goods"
Biomechanist,"Physiotherapist, Mechanic, Orthopaedic Appliances and Limb Technician"
Food Policy Analyst,"Nutritionist, Manager, Fast Food Service, Food Chemist"
Construction Project Coordinator,"General Manager, Construction, Construction Work Supervisor, Manager, Construction"
Digital Content Creator,"Computer Designer, Developer, Automatic (Photofinishing), Digital Cataloguer"
Human Resources Coordinator,"Personnel Manager, Manpower Officer/Area Manager, Human Resource, Human Resource Manager"
Curriculum Developer,"Manual Training Teacher/Craft Instructor, Front-End Developer, Documentation Assistant"
Investment Relations Specialist,"Financial Analyst, Risk Management Analyst, Operations Research Analyst"
Policy Analyst,"Financial Analyst, Risk Management Analyst, Operations Research Analyst"
Medical Writer,"Pathologist, Medical, Medical Laboratory Technician, Physician, General"
Tour Guide,"Travel Agent, Travel Consultant, Tourist Guide"
Counselor,"Clinical Psychologist, Counselling Psychologist, Counsellor"
User Experience (UX) Designer,"Package Designer, Computer Designer, Package Designer"
Legal Secretary,"Attorney at Law, Personal Secretary, Legal Assistant"
Production Coordinator,"Executive Producer, Sales Coordinator, Production Planning Supervisor"
Brand Manager,"Sales Manager, Product Brand Manager, Brand Manager"
Transportation Planner,"Planner, Transport Manager, Traffic Planner"
Data Scientist,"Soil Scientist, Material Scientist, Environmental Scientist"
Food Marketing Specialist,"Food Chemist, Manager, Food Processing Plant, Food Products Packaging Technician"
Architectural Journalist,"Freelance Journalist, Business Correspondent, Architect"
Broadcast Journalist,"Radio Commentator, Reporter, Business Correspondent"
Marketing Communications Specialist,"Advertising Operations Coordinator (Digital), Marketing &amp; Social Media Manager, Digital Marketing Manager"
Media Trainer,"Spa Trainer, Fitness Trainer, Trainer"
Investor Relations Coordinator,"Finance Insurance &amp; Registration Coordinator, Sales Coordinator, Finance Agent"
Political Journalist,"Reporter, Business Correspondent, Political Scientist"
Medical Journalist,"Business Correspondent, Freelance Journalist, Reporter"
Public Relations Specialist (Tourism),"Commercial Traveller, General, Commercial Traveller, General, Tourist Guide"
Advocacy Journalist,"Freelance Journalist, Reporter, Business Correspondent"
Tech Journalist,"Paper Technologist, Freelance Journalist, Business Correspondent"
Crime Journalist,"Business Correspondent, Reporter, Freelance Journalist"
Industrial Journalist,"Reporter, Freelance Journalist, Business Correspondent"
Advertising Account Executive,"Advertising Sales Agent, Account Director (Advertising Agency), Account Executive (Advertising Agency)"
Logistics Content Specialist,"Travel Consultant &amp; Organiser, Manager, Storage and Warehousing, General Manager, Storage and Warehousing"
Science Journalist,"Environmental Scientist, Material Scientist, Political Scientist"
Agricultural Engineer,"Agriculture Engineering Technician, Agricultural Engineering Technician, Agricultural Engineer"
Construction Manager,"General Manager, Construction, Construction Work Supervisor, Manager, Construction"
Set Designer,"Layout Designer, Set Painter, Set Decorator"
Design Project Manager,"Product Design Engineer, Design Engineer, Product Design Manager"
Instructional Designer,"Manual Training Teacher/Craft Instructor, Tool Room Designer, Computer Designer"
Financial Data Visualization Specialist,"Budget Analyst, Finance Insurance &amp; Registration Coordinator, Financial Analyst"
City Planner,"Planning Supervisor, Planner, Town Planner"
Medical Device Designer,"Medical Laboratory Technician, Medical Equipment Technician, Biomedical Equipment Technician"
Restaurant Interior Designer,"Design Merchandiser, Furniture Designer, Interior Designer"
Social Services Facility Designer,"Human Resource Manager, Area Service Manager, Service Supervisor"
IT Office Designer,"Assistant Fashion Designer, Tool Room Designer, Computer Designer"
Prison Facility Designer,"Security Supervisor, Station Master, Computer Designer"
Product Packaging Designer,"Food Products Packaging Technician, Packaging Engineer, Packaging Engineer"
Experiential Marketing Designer,"Advertising Operations Coordinator (Digital), Manager, Advertising and Promotion, Digital Marketing Manager"
Warehouse Facility Designer,"Warehouse Binner, Warehouse Supervisor, Warehouse Supervisor"
Occupation C,"Building Operator, Civil Engineer, General, Working Proprietor, Construction"
Biological Scientists,"Environmental Scientist, Biologist, Biological Chemist"
Construction Managers,"Construction Work Supervisor, General Manager, Construction, Manager, Construction"
Sound Engineering Technicians,"Sound Designer, Sound Engineer, Sound Engineer"
Supply Chain Manager,"Supply Chain Field Assistant, Supply Chain Management (SCM) Executive, Supply Chain Manager - Life Science"
Educational Technologist,"University and College Teacher, Information Technology, Technologist, Paper, Paper Technologist"
Financial Data Scientist,"Economist, Financial Examiner, Financial Analyst"
Environmental Scientist,"Environmental Engineering Technician, Environmental Science and Protection Technician, Including Health, Environmental Scientist"
Data Scientist in Healthcare,"Medical Equipment Technician, Medical Laboratory Technician, Medical Records and Health Information Technician"
Tourism Technology Specialist,"Travel Consultant &amp; Organiser, Travel Consultant, Tourist Guide"
Data Scientist in Healthcare ,"Medical Equipment Technician, Medical Laboratory Technician, Medical Records and Health Information Technician"
Cybersecurity Analyst,"Security Officer, Operations Research Analyst, Risk Management Analyst"
Criminal Justice Analyst,"Attorney at Law, Police Prosecutor, Financial Analyst"
Industrial Engineer,"Production Engineer, Industrial Engineer, Industrial Engineer Executive"
Market Research Analyst ,"Financial Analyst, Operations Research Analyst, Market Research Analyst"
Supply Chain Analyst,"Risk Management Analyst, Supply Chain Management (SCM) Executive, Supply Chain Manager - Life Science"
Data Analyst ,"Risk Management Analyst, Operations Research Analyst, Financial Analyst"
Plant Pathologist,"Pathologist, Medical, Plant Physiologist, Plant Pathologist"
Urban Planner,"Traffic Planner, Town Planner, Planner"
Biomedical Photographer,"Field Technician - Digital Camera, Photographic Developer, Photographer"
Pharmaceutical Sales Representative,"Distributor Sales Representative, Sales Representative, Medical Sales Representative"
Biology Teacher,"Health Educator, Senior Secondary and Secondary School Teacher, Science, University and College Teacher (Science Subjects)"
Health Economics Analyst,"Ecologist, Operations Research Analyst, Economist"
Health Policy Analyst,"General Manager, Insurance, Health Educator, Health Officer"
Healthcare Data Analyst,"Financial Analyst, Operations Research Analyst, Medical Records and Health Information Technician"
Public Health Administrator,"Public Relations Officer, Hospital Administrator, Health Officer"
