Career (Small List),Matched Career (Large List)
Forensic Scientist,Forensic Science Technician
Quality Control Analyst,Quality Assessor
Medical Marketing Manager,Medical Sales Representative
Pharmaceutical Supply Chain Analyst,Supply Chain Manager - Life Science
Clinical Research Coordinator,Clinical Sociologist
Food Safety Compliance Officer,Food Products Packaging Technician
Real Estate Attorney,Property Dealer
Art Law Specialist,Legal Assistant
Compliance Officer,Environmental Compliance Inspector
Academic Affairs Lawyer,Attorney at Law
Tax Attorney,Accountant
Regulatory Affairs Specialist,Public Relations Officer
Medical Malpractice Lawyer,Attorney at Law
Tourism Policy Analyst,Travel Consultant
Mental Health Advocate,Advocate
Regulatory Compliance,Accounts Executive (Statutory Compliance)
Immigration Lawyer,Visa Assistant Consultant
Labor Relations Attorney,Legal Assistant
Brand Protection Attorney,Brand Manager
Supply Chain Risk Manager,Supply Chain Manager - Life Science
Patent Attorney,Attorney at Law
Environmental Policy Analyst,Environmental Scientist
Construction Project Manager,"Manager, Construction"
Media Planner,Production Planner
Operations Manager,Maintenance Executive
Instructional Coordinator,IT Coordinator in School
Loan Officer,Loan Approval Officer
City Manager,Store Manager
Public Health Educator,Health Educator
Travel Consultant,Travel Consultant
Family Therapist,Marriage and Family Counsellor
IT Project Manager,IT Coordinator in School
Probation Officer,Probation Officer
Quality Control Manager,Quality Management System In-Charge
Brand Manager,Brand Manager
Supply Chain Analyst,Supply Chain Manager - Life Science
Operations Research Analyst,Operations Research Analyst
Food Production Supervisor,Food Processing/Production Supervisor
Architectural Manager,Product Design Manager
Public Relations Specialist,Public Relations Officer
Human Resources Manager,Human Resource Manager
Instructional Coordinator,IT Coordinator in School
Investment Banker,Financial Analyst
Policy Analyst,Political Scientist
Medical and Health Services Manager,Medical Social Worker
Event Planner,"Meeting, Conference, and Event Planner"
Human Resources Specialist,Human Resource Manager
Systems Analyst,Computer Designer
Public Safety Director,Fire Prevention Officer
Production Planner,Production Planner
Product Manager,Product Development Manager
Fleet Manager,Manager Automotive Service
Operations Research Analyst,Operations Research Analyst
Environmental Educator,Environmental Scientist
Urban Designer,Interior Designer
Set Designer,Set Painter
Art Gallery Manager,"Renovator, Paintings"
Drama Coach,Sports Coach
Gallery Accountant,Accountant
Public Art Program Administrator,Art Director
Medical Illustrator,"Anatomist, Medical"
Event Planner (Arts and Culture),"Meeting, Conference, and Event Planner"
Community Arts Coordinator,Art Director
Graphic Designer,Computer Designer
Cultural Heritage Lawyer,Museum Curator
Exhibit Fabricator,Plastic Fabricator
Brand Manager (Creative Focus),Brand Manager
Logistics Coordinator (Cultural Events),Courier Delivery Executive
Architectural Illustrator,Architect
Farm Manager,"Manager, Agriculture Farm"
Urban Planner,Town Planner
Sports Photographer,News Photographer
Athletic Director,Athletic Coach
Athletic Coach,Athletic Coach
Investment Consultant (Sports),Share Market Trader
Sports Policy Analyst,Sports Coach
Athletic Trainer,Fitness Trainer
Sports Hospitality Manager,"Manager, Lodging and Catering Services"
Youth Sports Coordinator,Sports Coach
Video Game Developer (Sports),Sports Coach
Sports Security Manager,Sports Coach
Quality Assurance Specialist (Sports),Quality Engineer
Digital Marketing Specialist (Sports),Marketing &amp; Social Media Manager
Supply Chain Analyst (Sports Products),Supply Chain Manager - Life Science
Biomechanist,Physiotherapist
Food Policy Analyst,Animal Nutritionist
Construction Project Coordinator,"Director, Construction"
Digital Content Creator,Digital Marketing Manager
Human Resources Coordinator,Human Resource Manager
Curriculum Developer,Front-End Developer
Investment Relations Specialist,Market Research Analyst
Policy Analyst,Political Scientist
Medical Writer,Medical Physiologist
Tour Guide,Tourist Guide
Counselor,Counsellor
User Experience (UX) Designer,Design Engineer
Legal Secretary,Legal Assistant
Production Coordinator,Production Planner
Brand Manager,Brand Manager
Transportation Planner,Transport Coordinator
Data Scientist,Statistician
Food Marketing Specialist,Food Processing/Production Supervisor
Architectural Journalist,Architect
Broadcast Journalist,News Reporter
Marketing Communications Specialist,Marketing &amp; Social Media Manager
Media Trainer,Trainer
Investor Relations Coordinator,Public Relations Officer
Political Journalist,News Reporter
Medical Journalist,News Reporter
Public Relations Specialist (Tourism),Public Relations Officer
Advocacy Journalist,News Reporter
Tech Journalist,News Reporter
Crime Journalist,News Reporter
Industrial Journalist,Reporter
Advertising Account Executive,Account Executive (Advertising Agency)
Logistics Content Specialist,Courier Delivery Executive
Science Journalist,Reporter
Agricultural Engineer,Agricultural Engineer
Construction Manager,"Manager, Construction"
Set Designer,Set Painter
Design Project Manager,Product Design Manager
Instructional Designer,Design Engineer
Financial Data Visualization Specialist,Financial Analyst
City Planner,Town Planner
Medical Device Designer,Biomedical Engineer
Restaurant Interior Designer,Hotel and Restaurant Keeper
Social Services Facility Designer,Public Health System Design Engineer
IT Office Designer,Computer Designer
Prison Facility Designer,Tool Room Designer
Product Packaging Designer,Packaging Engineer
Experiential Marketing Designer,Design Merchandiser
Warehouse Facility Designer,Warehouse Supervisor
Occupation C,Police Constable
Biological Scientists,Biologist
Construction Managers,"Manager, Construction"
Sound Engineering Technicians,Sound Engineer
Supply Chain Manager,Supply Chain Manager - Life Science
Educational Technologist,ICT Engineer
Financial Data Scientist,Financial Analyst
Environmental Scientist,Environmental Scientist
Data Scientist in Healthcare,Medical Physiologist
Tourism Technology Specialist,Travel Consultant
Data Scientist in Healthcare ,Medical Physiologist
Cybersecurity Analyst,Risk Management Analyst
Criminal Justice Analyst,Criminologist
Industrial Engineer,Industrial Engineer
Market Research Analyst ,Market Research Analyst
Supply Chain Analyst,Supply Chain Manager - Life Science
Data Analyst ,Financial Analyst
Plant Pathologist,Plant Pathologist
Urban Planner,Town Planner
Biomedical Photographer,Photographer
Pharmaceutical Sales Representative,Medical Sales Representative
Biology Teacher,Zoologist
Health Economics Analyst,Economic Investigator
Health Policy Analyst,Health Officer
Healthcare Data Analyst,Medical Records and Health Information Technician
Public Health Administrator,Health Officer
Clinical Social Worker,Medical Social Worker
Bioinformatics Analyst,Statistical Assistant
Health Services Manager,Medical Social Worker
Pharmaceutical Manufacturing Technician,"Laboratory Assistant, Pharmaceutical"
Clinical Research Associate (CRA),"Laboratory Assistant, Clinical"
Health Services Administrator,Hospital Administrator
Pharmaceutical Scientist,Pharmaceutical Chemist
Environmental Attorney,Environmental Scientist
Land Development Consultant,"Manager, Land Survey"
Entertainment Attorney,Attorney at Law
Business Litigation Attorney,Legal Assistant
School Compliance Officer,School Inspector
Banking Lawyer,Bank Manager
Government Contracts Attorney,Contracts Officer (Telecom)
Bioethics Consultant,Biomedical Engineer
Event Contracts Manager,"Meeting, Conference, and Event Planner"
Child Welfare Attorney,Child Welfare Organizer
Problem-Solving,
Forensic Science Consultant,Forensic Science Technician
Manufacturing Risk Manager,"Manager, Manufacturing"
Social Media Compliance Specialist,Public Relations Officer
Customs Compliance Specialist,Customs Inspector
Environmental Scientist,Environmental Scientist
Food Safety Auditor,Food Products Packaging Technician
Environmental Designer,Environmental Scientist
Copywriter,Creative Writer
Market Research Analyst,Market Research Analyst
Adult Educator,Health Educator
Investment Analyst,Financial Analyst
Public Health Administrator,Health Officer
Healthcare Administrator,Hospital Administrator
Lodging Manager,"Manager, Lodging and Catering Services"
Case Manager,Medical Social Worker
Technical Support Specialist,ICT Technician
Emergency Management Director,"Director, Disaster Management Services"
Industrial Production Manager,Unit Production Manager
Advertising Manager,"Manager, Advertising and Promotion"
Fleet Manager,Manager Automotive Service
Environmental Scientist,Environmental Scientist
Environmental Consultant,Environmental Scientist
Construction Cost Estimator,Engineering Estimator
Marketing Communications Manager,Marketing &amp; Social Media Manager
Business Analyst,Financial Analyst
Academic Advisor,Supervisor
Financial Planner,Financial Analyst
Legislative Assistant,Legal Assistant
Health Information Manager,Medical Records and Health Information Technician
Travel Agency Manager,Travel Agent
Counselor,Counsellor
Network Administrator,Network Management Engineer
Paralegal,Legal Assistant
Quality Control Manager,Quality Management System In-Charge
Brand Manager,Brand Manager
Supply Chain Analyst,Supply Chain Manager - Life Science
Technology Product Manager,Product Development Manager
Food Product Stylist,Food Products Packaging Technician
Landscape Architect,Architect
Film Director,Film Producer
Marketing Director,Sales Director
Curriculum Developer for Arts Education,"University and College Teacher, Arts Subjects"
Non-Profit Arts Organization Finance Officer,Field Sales Executive
Arts Funding Officer,Art Director
Drama Therapist,Occupational Therapist
Resort Entertainment Director,"Director, Lodging and Catering Services"
Recreational Therapist (Arts Focus),Occupational Therapist
UX/UI Designer,Design Engineer
Art Crime Investigator,Detective
Artisan Craftsperson,Artisan
Creative Content Strategist,Creative Writer
Production Set Logistics Manager,Inventory Manager
Interactive Media Developer (STEM Education),ICT Engineer
Agricultural Technician,Agricultural Engineering Technician
Landscape Architect,Architect
Sports Filmmaker,Film Producer
Event Manager (Sports),Sports Coach
Sports Psychologist,Sports Coach
Sports Accountant,Accountant
Public Affairs Specialist (Sports),Public Relations Officer
Nutritionist (Sports),Nutritionist
Tour Guide (Sports Focus),Sports Coach
Community Outreach Worker,Child Welfare Organizer
Web Developer (Sports),Front-End Developer
Athlete Rights Advocate,Professional Athlete
Supply Chain Manager (Sports),Supply Chain Manager - Life Science
Promotions Coordinator (Sports),Sports Coach
Transportation Manager (Sports),General Manager - Transport
Sports Engineer,Sports Coach
Environmental Educator,Environmental Scientist
Urban Planner,Town Planner
Public Relations Specialist,Public Relations Officer
Marketing Coordinator,Sales Coordinator
Educational Consultant,Educational Psychologist
Budget Analyst,Budget Analyst
Community Development Officer,Community Service Provider
Patient Advocate,Advocate
Travel Consultant,Travel Consultant
Nonprofit Program Manager,Child Welfare Organizer
IT Project Coordinator,IT Coordinator in School
Criminal Justice Research Analyst,Operations Research Analyst
Supply Chain Analyst,Supply Chain Manager - Life Science
Market Research Analyst,Market Research Analyst
Supply Chain Manager,Supply Chain Manager - Life Science
Research Analyst,Market Research Analyst
Environmental Journalist,Environmental Scientist
Real Estate Media Specialist,Property Dealer
Art Director,Art Director
Business Development Manager,Business Development Executive
Instructional Designer,Design Engineer
Financial Journalist,Financial Analyst
Government Communications Officer,Director of Communications
Healthcare Public Relations Manager,Public Relations Officer
Social Media Manager (Hospitality),Marketing &amp; Social Media Manager
Community Outreach Coordinator,Community Service Provider
Social Media Manager (Tech Companies),Marketing &amp; Social Media Manager
Public Information Officer (Law Enforcement),Information Officer
Manufacturing Marketing Coordinator,"Manager, Manufacturing"
Brand Strategist,Brand Manager
Transport Journalist,News Reporter
Technical Writer (STEM),"Technologist, Paper"
Food Production Facility Designer,Food Processing/Production Supervisor
Interior Designer,Interior Designer
Art Director,Art Director
Corporate Interior Designer,Interior Designer
Museum Educator,Museum Curator
Corporate Office Designer,Assistant Designer - Home Furnishing
Public Space Designer,Architect
Healthcare Facility Interior Designer,Interior Designer
Event Space Designer,"Meeting, Conference, and Event Planner"
Non-Profit Event Designer,"Meeting, Conference, and Event Planner"
Game Environment Designer,Character Designer
Police Station Designer,Police Inspector
Factory Layout Designer,Layout Designer
Visual Merchandiser,Design Merchandiser
Public Transit Planner,Traffic Planner
Occupation D,Career Name
Soil and Plant Scientists,Soil Scientist
Urban and Regional Planners,Town Planner
Graphic Designers,Computer Designer
Business Intelligence Analyst,Market Research Analyst
STEM Curriculum Developer,
Risk Manager,Risk Management Analyst
IT Project Manager,IT Coordinator in School
Health Informatics Specialist,Medical Records and Health Information Technician
Hospitality Operations Manager,"Manager, Lodging and Catering Services"
Health Informatics Specialist ,Medical Records and Health Information Technician
Network Administrator,Network Management Engineer
Emergency Management Director,"Director, Disaster Management Services"
Production Manager,Production Planner
Content Strategist,Production Planner
Warehouse Operations Manager,Warehouse Supervisor
Electrical Engineer,Electrical Engineer
Environmental Scientist,Environmental Scientist
Environmental Health and Safety Specialist,Occupational Health and Safety Specialist
Medical Video Producer,Film Producer
Health Services Manager,Medical Social Worker
Clinical Research Educator,Clinical Sociologist
Medical Billing Specialist,Medical Sales Representative
Biostatistician,Biological Chemist
Public Health Educator,Health Educator
Spa Manager,Spa Therapist
Medical Case Manager,Medical Social Worker
Telemedicine Coordinator,Telecommunication Technician
Public Health Analyst,Public Health System Design Engineer
Process Development Scientist,Process Design Engineer
Health Communications Specialist,Health Educator
Medical Equipment Distribution Specialist,Medical Equipment Technician
Genetic Counselor,Animal Geneticist
Natural Resource Manager,Environmental Scientist
Zoning and Land Use Lawyer,"Manager, Land Survey"
Intellectual Property Lawyer,Copyright Clerk
Intellectual Property Manager,Copyright Clerk
Higher Education Consultant,Travel Consultant
Investment Fraud Attorney,Mutual Fund Agent
Environmental Policy Advisor,Environmental Scientist
Healthcare Compliance Officer,Health Officer
Licensing and Compliance Officer,Accounts Executive (Statutory Compliance)
Substance Abuse Counselor,Counsellor
Criminal Defense Attorney,Police Prosecutor
Manufacturing Compliance Officer,Factory Compliance Auditor
Product Development Attorney,Product Design Engineer
E-commerce Legal Advisor,"Director, Retail Trade"
Transport Safety Advisor,Safety Engineer
Data Privacy Compliance Officer,Information Officer
Sustainability Consultant,Environmental Scientist
Historic Preservationist,Archivist
Broadcast Journalist,News Reporter
Training and Development Specialist,Certified Training Assessor
Corporate Trainer,Sales Training Manager
Risk Manager,Risk Management Analyst
Government Affairs Specialist,"Administrative Official, State Government"
Community Health Worker,Frontline Health Worker
Food Service Manager,Assistant Catering Manager
Community Outreach Coordinator,Community Service Provider
Database Administrator,Maintenance Executive
Police Officer,Police Constable
Supply Chain Analyst,Supply Chain Manager - Life Science
Digital Marketing Specialist,Digital Marketing Manager
Warehouse Manager,Warehouse Supervisor
Data Analyst,Financial Analyst
Agricultural Economist,Agricultural Engineer
Real Estate Developer,Property Dealer
Graphic Design Manager,Product Design Manager
Financial Manager,Financial Analyst
Corporate Trainer,Sales Training Manager
Loan Officer,Loan Approval Officer
Public Administration Consultant,Public Relations Officer
Clinical Research Coordinator,Clinical Sociologist
Restaurant Manager,Hotel and Restaurant Keeper
Rehabilitation Services Manager,Vocational Rehabilitation Counsellor
Database Administrator,Maintenance Executive
Security Manager,Security Supervisor
Supply Chain Manager,Supply Chain Manager - Life Science
Digital Marketing Specialist,Digital Marketing Manager
Warehouse Operations Manager,Warehouse Supervisor
Supply Chain Analyst,Supply Chain Manager - Life Science
Botanical Illustrator,Floral Designer
Exhibition Designer,Art Director
Creative Director,Art Director
Event Manager,"Meeting, Conference, and Event Planner"
Art Therapist,Art Teacher
Financial Planner for Artists,Commercial Artist
Arts Ambassador,Fine Art Painter
Music Therapist,Music Composer
Museum Curator (Tourist Sites),Museum Curator
Social Worker (Arts in Therapy),Medical Social Worker
Video Game Designer (Arts Focus),Computer Designer
Intellectual Property Lawyer (Arts Focus),Legal Assistant
Stage Set Designer,Stage Producer
Graphic Designer (Marketing Focus),Marketing &amp; Social Media Manager
Museum Registrar (Transportation Focus),Museum Curator
Environmental Artist (STEM Focus),Environmental Scientist
Food Safety Specialist,Food Products Packaging Technician
Site Supervisor,Supervisor
Graphic Designer (Sports),Assistant Fashion Designer
Sports Agent,Sports Coach
Sports Science Lecturer,Sports Coach
Budget Analyst (Sports),Budget Analyst
Grant Coordinator (Sports Programs),Sports Coach
Physical Therapist (Sports),Physical Training Instructor/Physical Education Teacher
Corporate Sponsorship Manager,Brand Manager
Sports Social Worker,Sports Coach
Mobile App Developer (Sports),Sports Coach
Risk Assessment Specialist (Sports),Risk Management Analyst
Manufacturing Engineer (Sports Gear),"Mechanical Engineer, Maintenance"
Market Research Analyst (Sports),Market Research Analyst
Fleet Manager (Sports Teams),General Manager - Transport
Performance Analyst,Performance Tester
Community Outreach Coordinator,Community Service Provider
Sustainability Consultant,Environmental Scientist
Arts Administrator,Art Director
Customer Relations Manager,Customer Relationship Manager
Instructional Coordinator,IT Coordinator in School
Loan Officer,Loan Approval Officer
Regulatory Affairs Specialist,Public Relations Officer
Health Educator,Health Educator
Hotel Manager,Hotel Concierge
Crisis Intervention Specialist,Vocational Rehabilitation Counsellor
Data Analyst,Financial Analyst
Public Safety Educator,Safety Engineer
Technical Sales Representative,Sales Representative
Digital Marketing Manager,Digital Marketing Manager
Freight Broker,Broker
STEM Education Specialist,Biomedical Engineer
Sustainability Content Creator,Climate Change &amp; Risk Mitigation Manager
Sustainability Communications Advisor,Director of Communications
Video Editor,Sound Editor
Internal Communications Coordinator,Director of Communications
Educational Technology Specialist,ICT Technician
Content Marketing Specialist (Finance),Marketing &amp; Social Media Manager
Public Information Officer,Information Officer
Health Content Creator,Health Club Manager
Event Planner (Tourism),"Meeting, Conference, and Event Planner"
Public Relations Specialist (Human Services),Public Relations Officer
IT Public Relations Manager,Public Relations Officer
Legal PR Consultant,Public Relations Officer
Product Launch Communications Specialist,Product Specialist Engineer
Content Marketing Manager,Digital Marketing Manager
Public Relations Specialist (Logistics),Public Relations Officer
STEM Podcast Host,"Station Director, RadioTV"
Urban Planner,Town Planner
Urban Designer,Interior Designer
Graphic Designer,Computer Designer
Brand Designer,Brand Manager
Art Instructor,Art Teacher
ATM Kiosk Designer,
Government Facility Interior Designer,Interior Designer
Healthcare Data Visualization Specialist,Medical Records and Health Information Technician
Resort Landscape Architect,Architect
Art Therapy Space Designer,Interior Designer
Data Center Architect,
Security Systems Designer,Fire Protection Systems Design Engineer
Sustainable Manufacturing Consultant,"Manager, Manufacturing"
Brand Identity Designer,Brand Manager
Shipping Facility Designer,Packaging Engineer
Occupation E,Assistant Electrician
Environmental Engineers,Environmental Engineering Technician
Landscape Architects,Architect
Web Developers,Front-End Developer
Financial Quantitative Analyst,Financial Analyst
STEM Education Consultant,Vocational Guidance Officer/Career Counsellor
Actuary,Actuary
Statistical Analyst,Statistician
Pharmaceutical Scientist,Pharmaceutical Chemist
Event Planner with a STEM Focus,"Meeting, Conference, and Event Planner"
Pharmaceutical Scientist ,Pharmaceutical Chemist
Web Developers,Front-End Developer
Compliance Officer,Environmental Compliance Inspector
Automation Engineer,Automation Specialist
Social Media Manager,Marketing &amp; Social Media Manager
Freight Broker,Broker
Statistician,Statistician
Veterinary Technician,Veterinary Surgeon
Medical Facility Manager,Hospital Administrator
Public Health Educator ,Health Educator
Medical and Health Services Manager,Medical Social Worker
Public Health Educator,Health Educator
Clinical Research Financial Coordinator,Medical Sales Representative
Regulatory Affairs Specialist,Public Relations Officer
Pharmaceutical Sales Representative,Medical Sales Representative
Nutritionist/Dietitian for Hospitality,Dietician
Occupational Therapist,Occupational Therapist
Regulatory Affairs Specialist,Public Relations Officer
Environmental Health Specialist,"Environmental Science and Protection Technician, Including Health"
Clinical Research Coordinator,Clinical Sociologist
Product Manager in Biotech,Product Development Manager
Biomedical Supply Chain Manager,Supply Chain Manager - Life Science
Biostatistician,Biological Chemist
Agricultural Policy Analyst,Agriculture Extension Executive
Building Code Compliance Officer,Environmental Compliance Inspector
Telecommunications Regulatory Consultant,Contracts Officer (Telecom)
Contract Manager,Contracts Officer (Telecom)
Special Education Lawyer,Legal Assistant
Corporate Finance Lawyer,Finance Agent
Legislative Analyst,Legal Assistant
Pharmaceutical Regulatory Attorney,Pharmaceutical Chemist
Travel and Tourism Consultant,Travel Consultant &amp; Organiser
Nonprofit Organization Lawyer,Attorney at Law
Public Defender,Public Prosecutor
Product Liability Attorney,Insurance Agent
Marketing Compliance Officer,Customer Relationship Executive
Market Research Analyst,Market Research Analyst
Warehouse Compliance Manager,Warehouse Supervisor
Cybersecurity Compliance Consultant,Security Supervisor
Natural Resource Manager,Environmental Scientist
Building Inspector,Building Operator
Film and Video Editor,Film Developing Machine Operator
Business Consultant,Business Development Executive
Education Policy Analyst,Political Scientist
Budget Analyst,Budget Analyst
Legislative Assistant,Legal Assistant
Healthcare Consultant,Health Officer
Tour Guide,Tourist Guide
Rehabilitation Counselor,Vocational Rehabilitation Counsellor
Cybersecurity Analyst,Risk Management Analyst
Correctional Officer,Probation Officer
Logistics Manager,Courier Delivery Executive
Public Relations Specialist,Public Relations Officer
Transportation Planner,Transport Coordinator
Software Developer,Software Tester
Natural Resources Manager,Environmental Scientist
Facility Manager,Store Manager
Audio/Visual Systems Manager,Sound Editor
Supply Chain Manager,Supply Chain Manager - Life Science
Education Administrator,Administrative &amp; Executive Official
Accountant,Accountant
Urban and Regional Planner,Town Planner
Healthcare Consultant,Health Officer
Tourism Development Specialist,Travel Consultant &amp; Organiser
Nonprofit Organization Director,"Director, Disaster Management Services"
Information Security Analyst,Information Officer
Loss Prevention Manager,"Manager, Storage and Warehousing"
Plant Manager,Supervisor (Plant &amp; Machinery)
Advertising Manager,"Manager, Advertising and Promotion"
Distribution Manager,Technical Helper (Distribution)
Financial Data Analyst,Financial Analyst
Sustainable Farming Advocate,Crop Farmer
Interior Designer,Interior Designer
Sound Designer,Sound Designer
Brand Manager,Brand Manager
Museum Educator,Museum Curator
Grant Manager,Assignment Manager
